rodada;posicao_ebt;nota;dt_inicio_avaliacao;dt_fim_avaliacao;uf;nome_uf;municipio;cod_ibge;populacao;site_municipal;site_esic;regulamento_pagina_prefeitura;regulamento_pagina_prefeiturap;regulamentou_lai;regulamentou_laip;tipo_regulamentacao_lai;normativo_lai;dt_normativo_lai;regulamentou_criacao_sic;regulamentou_criacao_sicp;previsao_calassificacao;previsao_calassificacaop;previsao_responsabilizacao_servidor;previsao_responsabilizacao_servidorp;regulamentou_instancia_recursal;regulamentou_instancia_recursalp;pontos_regulamentacao;indicacao_orgao;indicacao_orgaop;indicacao_endereco;indicacao_enderecop;indicacao_telefone;indicacao_telefonep;indicacao_horario;indicacao_horariop;alternativa_sic_eletronico;alternativa_sic_eletronicop;envio_documento_cadastro;assinatura_reconhecida;declaracao_responsabilidade;maioridade;outras_exigencias;nao_exige_identificacaop;possibilidade_acompanhamento;possibilidade_acompanhamentop;resposta_no_prazo_pergunta_1;resposta_no_prazo_pergunta_2;resposta_no_prazo_pergunta_3;resposta_no_prazo_pergunta_4;pontos_prazo_perguntas;respondeu_pergunta_1;respondeu_pergunta_2;respondeu_pergunta_3;respondeu_pergunta_4;pontos_resposta_perguntas;pontos_transp_passiva;total_pontos;nota_1
1;25;7.36;13/01/2015;18/03/2015;RS;Rio Grande do Sul;Tio Hugo;4321469;2893;http://www.tiohugo.rs.gov.br/web/;http://www.tiohugo.rs.gov.br/web/?menu=contact;Sim;100;Sim;150;LEI;767;01/07/2013;SIM;200;SIM;150;SIM;100;Sim;200;900;NÃO;0;NÃO;0;NÃO;0;NÃO;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;SIM;NÃO;350;SIM;SIM;SIM;NÃO;700;1750;2650;7.36
1;28;6.94;06/02/2015;16/03/2015;SC;Santa Catarina;Vargeão;4219101;3590;http://www.vargeao.sc.gov.br/;http://lai.fecam.org.br/vargeao/index/consultar-solicitacao;Sim;100;Sim;150;DECRETO;30;30/04/2013;SIM;200;SIM;150;SIM;100;Sim;200;900;NÃO;0;SIM;100;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;NÃO;NÃO;SIM;SIM;200;NÃO;NÃO;SIM;SIM;400;1600;2500;6.94
1;29;6.81;01/04/2015;24/04/2015;MS;Mato Grosso do Sul;Campo Grande;5002704;843120;http://www.pmcg.ms.gov.br/;http://www.capital.ms.gov.br/sic;Sim;100;Sim;150;DECRETO;11842;24/05/2012;SIM;200;NÃO;0;NÃO;0;Sim;200;650;SIM;200;SIM;100;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;NÃO;NÃO;200;SIM;SIM;NÃO;NÃO;400;1800;2450;6.81
1;30;6.67;01/04/2015;24/04/2015;BA;Bahia;Salvador;2927408;2902927;http://www.salvador.ba.gov.br/;http://fala.salvador.ba.gov.br/indexpm.jsp;Sim;100;Sim;150;LEI / DECRETO;8.460  /  24.806;23/08/2013  /  24/02/2014;SIM;200;SIM;150;SIM;100;Sim;200;900;SIM;200;SIM;100;SIM;100;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;NÃO;NÃO;NÃO;SIM;100;NÃO;NÃO;NÃO;SIM;200;1500;2400;6.67
1;31;6.25;13/01/2015;17/03/2015;RS;Rio Grande do Sul;São Sepé;4319604;24448;http://www.saosepe.rs.gov.br/;http://www.saosepe.rs.gov.br/sic-servico-de-informacao-ao-cidadao/;Sim;100;Sim;150;DECRETO;3624;03/09/2012;SIM;200;NÃO;0;SIM;100;Sim;200;750;SIM;200;SIM;100;NÃO;0;SIM;100;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Não;0;SIM;NÃO;NÃO;SIM;200;SIM;NÃO;NÃO;SIM;400;1500;2250;6.25
1;32;6.11;12/01/2015;17/03/2015;RS;Rio Grande do Sul;Pejuçara;4314308;4062;www.pejucara.rs.gov.br;http://www.pejucara.rs.gov.br/acessoainformacao;Não;0;Não;0;NÃO LOCALIZADO;NÃO LOCALIZADO;NÃO LOCALIZADO;NÃO LOCALIZADO;0;NÃO LOCALIZADO;0;NÃO LOCALIZADO;0;Não Localizado;0;0;NÃO;0;NÃO;0;NÃO;0;NÃO;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;SIM;SIM;500;SIM;SIM;SIM;SIM;1000;2200;2200;6.11
1;32;6.11;20/01/2015;17/03/2015;RS;Rio Grande do Sul;Forquetinha;4308433;2532;www.forquetinha.com.br;http://187.16.230.5:8083/index?secao=acesso_informacao#;Não;0;Não;0;NÃO LOCALIZADO;NÃO LOCALIZADO;NÃO LOCALIZADO;NÃO LOCALIZADO;0;NÃO LOCALIZADO;0;NÃO LOCALIZADO;0;Não Localizado;0;0;NÃO;0;NÃO;0;NÃO;0;Não;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;SIM;SIM;500;SIM;SIM;Sim;SIM;1000;2200;2200;6.11
1;32;6.11;12/01/2015;10/03/2015;SP;São Paulo;Alto Alegre;3501103;4183;www.altoalegre.sp.gov.br;www.altoalegre.sp.gov.br/sic;Não;0;Não;0;NÃO LOCALIZADO;NÃO LOCALIZADO;NÃO LOCALIZADO;NÃO LOCALIZADO;0;NÃO LOCALIZADO;0;NÃO LOCALIZADO;0;Não Localizado;0;0;NÃO;0;NÃO;0;NÃO;0;NÃO;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;SIM;SIM;500;SIM;SIM;SIM;SIM;1000;2200;2200;6.11
1;32;6.11;20/01/2015;05/03/2015;MS;Mato Grosso do Sul;Terenos;5008008;19434;www.terenos.ms.gov.br;http://esic.qualitysistemas.com.br/login/prefeitura_municipal_de_terenos;Não;0;Não;0;NÃO LOCALIZADO;NÃO LOCALIZADO;NÃO LOCALIZADO;NÃO LOCALIZADO;0;NÃO LOCALIZADO;0;NÃO LOCALIZADO;0;Não Localizado;0;0;NÃO;0;NÃO;0;NÃO;0;NÃO;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Sim;200;SIM;SIM;SIM;SIM;500;SIM;SIM;SIM;SIM;1000;2200;2200;6.11
1;36;5.56;24/02/2015;19/03/2015;SP;São Paulo;Ribeirão Bonito;3542909;12831;www.ribeiraobonito.sp.gov.br/;http://www.transparencia.ribeiraobonito.sp.gov.br/Portal/FaleConosco.aspx;Não;0;Não;0;NÃO LOCALIZADO;NÃO LOCALIZADO;NÃO LOCALIZADO;NÃO LOCALIZADO;0;NÃO LOCALIZADO;0;NÃO LOCALIZADO;0;Não Localizado;0;0;NÃO;0;NÃO;0;NÃO;0;NÃO;0;Sim;200;NÃO;NÃO;NÃO;NÃO;NÃO;300;Não;0;SIM;SIM;SIM;SIM;500;SIM;SIM;SIM;SIM;1000;2000;2000;5.56
