Numero Processo;Tipo do processo;Assunto;Pasta;Entidade;Estado;Cidade;Data de instauracao;Fase atual;Data da fase atual;Investigados;Quantidade de sancoes que impedem contratacao;Outras;Multas
00190009832201243;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério dos Transportes, Portos e Aviação Civil;Superintendência Regional do DNIT no Estado do Ceará;CE;FORTALEZA;2012/04/24 00:00:00.000000000;Encaminhado para Julgamento;2012/06/12 00:00:00.000000000;1;;;
00190009832201243;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério dos Transportes, Portos e Aviação Civil;Superintendência Regional do DNIT no Estado do Ceará;CE;FORTALEZA;2012/04/24 00:00:00.000000000;Encaminhado para Julgamento;2012/06/12 00:00:00.000000000;1;;;
00190009832201243;PAR - Administração Nacional;Utilização dissimulada de interposta pessoa para a obtenção de vantagem indevida junto à administração pública nacional.;Ministério dos Transportes, Portos e Aviação Civil;Superintendência Regional do DNIT no Estado do Ceará;CE;FORTALEZA;2012/04/24 00:00:00.000000000;Encaminhado para Julgamento;2012/06/12 00:00:00.000000000;1;;;
0003512694892017;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;AM;MANAUS;2017/05/18 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2017/12/11 00:00:00.000000000;1;;;
0004512694892017;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;AM;MANAUS;2017/05/18 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2017/12/18 00:00:00.000000000;1;;;
0001533172852016;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2016/12/02 00:00:00.000000000;Encaminhado para Julgamento;2017/10/16 00:00:00.000000000;1;;;
0012017;Investigação Preliminar;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;DF;BRASILIA;2017/01/23 00:00:00.000000000;Julgado;2017/07/11 00:00:00.000000000;1;;;
0009532946412017;PAR - Administração Nacional;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;DF;BRASILIA;2017/07/26 00:00:00.000000000;Indiciamento/Citação/Defesa Escrita/Relatório Final;2017/12/14 00:00:00.000000000;1;;;
0022017;Investigação Preliminar;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;DF;BRASILIA;2017/01/23 00:00:00.000000000;Julgado;2017/07/11 00:00:00.000000000;1;;;
0052017;Investigação Preliminar;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;SP;SAO PAULO;2017/07/04 00:00:00.000000000;Julgado;2017/12/29 00:00:00.000000000;1;;;
